time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.thumb_2,.thumb_1,.index_2,.index_1,.middle_2,.middle_1,.ring_2,.ring_1,.little_2,.little_1,.palm_arch,.thumb_crossover,.press_thumb,.press_index,.press_middle,.press_ring,.press_little,.abd_thumb,.abd_index,.abd_ring,.abd_little,rigidity,object,stiffness
2025/05/23/16:30:52.438727,1,1748010652,438170909,,1000,164,252,59,163,65,140,38,86,1000,13,0,868,999,999,999,999,607,645,202,148,1,1,1
2025/05/23/16:30:52.448953,2,1748010652,448316574,,1000,163,233,58,152,59,129,35,81,1000,0,0,866,999,999,999,999,597,634,191,117,1,1,1
2025/05/23/16:30:52.458505,3,1748010652,458058595,,1000,163,233,58,152,59,129,35,81,1000,0,0,866,999,999,999,999,597,634,191,117,1,1,1
2025/05/23/16:30:52.468533,4,1748010652,468084573,,1000,163,233,58,152,59,129,35,81,1000,0,0,866,999,999,999,999,597,634,191,117,1,1,1
2025/05/23/16:30:52.478257,5,1748010652,477958917,,1000,163,233,58,152,59,129,35,81,1000,0,0,866,999,999,999,999,597,634,191,117,1,1,1
2025/05/23/16:30:52.488504,6,1748010652,488125324,,1000,163,233,58,152,59,129,35,81,1000,0,0,866,999,999,999,999,597,633,191,117,1,1,1
2025/05/23/16:30:52.498419,7,1748010652,498028039,,1000,163,233,58,152,59,129,35,81,1000,0,0,866,999,999,999,999,597,633,191,116,1,1,1
2025/05/23/16:30:52.508464,8,1748010652,508020162,,1000,163,232,58,152,59,128,35,81,1000,0,0,865,999,999,999,999,596,633,191,116,1,1,1
2025/05/23/16:30:52.518381,9,1748010652,517994403,,1000,163,232,58,152,59,128,35,80,1000,0,0,864,999,999,999,999,596,633,191,117,1,1,1
2025/05/23/16:30:52.528583,10,1748010652,528130292,,1000,163,232,58,151,59,128,35,80,1000,0,0,864,999,999,999,999,596,633,189,116,1,1,1
2025/05/23/16:30:52.538470,11,1748010652,537990093,,1000,163,232,58,151,59,128,35,80,1000,0,0,864,999,999,999,999,596,633,189,116,1,1,1
2025/05/23/16:30:52.548374,12,1748010652,547971248,,1000,163,232,58,151,59,128,35,81,1000,0,0,866,999,999,999,999,596,633,189,115,1,1,1
2025/05/23/16:30:52.558204,13,1748010652,557906866,,1000,163,231,58,151,59,128,35,81,1000,0,0,867,999,999,999,999,596,632,189,115,1,1,1
2025/05/23/16:30:52.568583,14,1748010652,568111658,,1000,163,232,58,151,59,128,35,80,1000,0,0,868,999,999,999,999,596,632,191,116,1,1,1
2025/05/23/16:30:52.578418,15,1748010652,577955245,,1000,163,232,57,151,59,128,35,80,1000,0,0,868,999,999,999,999,596,633,191,116,1,1,1
2025/05/23/16:30:52.588383,16,1748010652,588022232,,1000,163,232,57,151,59,128,35,80,1000,0,0,869,999,999,999,999,596,633,191,115,1,1,1
2025/05/23/16:30:52.598646,17,1748010652,598055839,,1000,163,231,58,151,59,128,35,80,1000,0,0,870,999,999,999,999,596,633,191,115,1,1,1
2025/05/23/16:30:52.608267,18,1748010652,607931375,,1000,163,232,58,151,59,128,35,80,1000,0,0,871,999,999,999,999,596,632,191,115,1,1,1
2025/05/23/16:30:52.618267,19,1748010652,617900609,,1000,163,231,58,151,59,128,35,80,1000,0,0,871,999,999,999,999,596,632,191,116,1,1,1
2025/05/23/16:30:52.628139,20,1748010652,627852916,,1000,163,231,58,151,59,128,35,80,1000,0,0,870,999,999,999,999,596,632,191,115,1,1,1
2025/05/23/16:30:52.638151,21,1748010652,637881278,,1000,163,231,57,151,59,128,35,80,1000,0,0,867,999,999,999,999,596,632,191,115,1,1,1
2025/05/23/16:30:52.648233,22,1748010652,647862672,,1000,163,231,57,151,59,128,35,80,1000,0,0,864,999,999,999,999,595,632,191,115,1,1,1
2025/05/23/16:30:52.658247,23,1748010652,657913684,,1000,163,231,57,151,58,128,35,80,1000,0,0,862,999,999,999,999,596,633,191,115,1,1,1
2025/05/23/16:30:52.668214,24,1748010652,667909860,,1000,163,231,57,151,58,128,35,80,1000,0,0,862,999,999,999,999,595,632,191,115,1,1,1
2025/05/23/16:30:52.678195,25,1748010652,677880287,,1000,163,231,57,151,58,127,35,80,1000,0,0,863,999,999,999,999,595,632,191,115,1,1,1
2025/05/23/16:30:52.688318,26,1748010652,687913656,,1000,163,231,57,151,58,128,35,80,1000,0,0,865,999,999,999,999,595,633,191,115,1,1,1
2025/05/23/16:30:52.698246,27,1748010652,697928667,,1000,163,231,57,151,58,127,35,80,1000,0,0,866,999,999,999,999,595,632,191,115,1,1,1
2025/05/23/16:30:52.708358,28,1748010652,708007335,,1000,163,231,57,151,58,127,35,80,1000,0,0,864,999,999,999,999,595,632,191,115,1,1,1
2025/05/23/16:30:52.718288,29,1748010652,717932462,,1000,163,231,57,151,58,127,35,80,1000,0,0,862,999,999,999,999,595,632,191,115,1,1,1
