time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.thumb_2,.thumb_1,.index_2,.index_1,.middle_2,.middle_1,.ring_2,.ring_1,.little_2,.little_1,.palm_arch,.thumb_crossover,.press_thumb,.press_index,.press_middle,.press_ring,.press_little,.abd_thumb,.abd_index,.abd_ring,.abd_little,rigidity,object,stiffness
2025/05/23/15:20:26.838028,1,1748006426,837475776,,1000,137,230,55,134,59,207,133,138,1000,48,0,999,999,999,999,999,658,761,374,267,0,1,0
2025/05/23/15:20:26.848043,2,1748006426,847340345,,1000,135,232,55,131,55,202,130,133,1000,14,0,999,999,999,999,999,637,755,385,255,0,1,0
2025/05/23/15:20:26.857864,3,1748006426,857380628,,1000,135,232,55,131,55,202,130,133,1000,14,0,999,999,999,999,999,637,755,384,254,0,1,0
2025/05/23/15:20:26.867809,4,1748006426,867370843,,1000,135,232,55,131,55,202,130,133,1000,14,0,999,999,999,999,999,637,755,385,254,0,1,0
2025/05/23/15:20:26.877687,5,1748006426,877232551,,1000,135,232,55,131,55,203,131,133,1000,14,0,999,999,999,999,999,637,756,387,253,0,1,0
2025/05/23/15:20:26.887821,6,1748006426,887238740,,1000,135,232,55,131,55,203,131,133,1000,14,0,999,999,999,999,999,637,755,385,252,0,1,0
2025/05/23/15:20:26.897569,7,1748006426,897210597,,1000,135,232,55,131,55,203,132,133,1000,14,0,999,999,999,999,999,637,755,385,252,0,1,0
2025/05/23/15:20:26.907705,8,1748006426,907302141,,1000,135,233,55,131,55,203,131,133,1000,14,0,999,999,999,999,999,637,755,385,253,0,1,0
2025/05/23/15:20:26.917652,9,1748006426,917262077,,1000,135,233,55,131,55,203,131,133,1000,14,0,999,999,999,999,999,637,755,385,254,0,1,0
2025/05/23/15:20:26.927649,10,1748006426,927288055,,1000,135,233,55,131,55,203,130,133,1000,14,0,999,999,999,999,999,637,754,385,253,0,1,0
2025/05/23/15:20:26.937670,11,1748006426,937310457,,1000,135,233,55,131,55,203,130,133,1000,14,0,999,999,999,999,999,637,754,385,253,0,1,0
2025/05/23/15:20:26.947517,12,1748006426,947176933,,1000,135,233,55,131,55,204,131,133,1000,14,0,999,999,999,999,999,636,754,385,253,0,1,0
2025/05/23/15:20:26.957828,13,1748006426,957222938,,1000,135,233,55,131,55,204,131,133,1000,13,0,999,999,999,999,999,637,755,385,253,0,1,0
2025/05/23/15:20:26.967629,14,1748006426,967172145,,1000,135,233,55,131,55,203,130,133,1000,13,0,999,999,999,999,999,636,755,387,253,0,1,0
2025/05/23/15:20:26.978203,15,1748006426,977511882,,1000,135,233,55,131,55,203,130,133,1000,13,0,999,999,999,999,999,636,754,385,253,0,1,0
2025/05/23/15:20:26.987675,16,1748006426,987282276,,1000,135,233,55,131,55,203,130,133,1000,12,0,999,999,999,999,999,636,754,384,253,0,1,0
2025/05/23/15:20:26.997701,17,1748006426,997180461,,1000,135,233,55,131,54,203,130,133,1000,12,0,999,999,999,999,999,636,754,384,254,0,1,0
2025/05/23/15:20:27.007516,18,1748006427,7167816,,1000,135,233,55,131,54,202,130,132,1000,12,0,999,999,999,999,999,636,754,384,253,0,1,0
2025/05/23/15:20:27.017439,19,1748006427,17148494,,1000,135,233,55,131,54,204,131,132,1000,11,0,999,999,999,999,999,635,752,385,252,0,1,0
2025/05/23/15:20:27.027559,20,1748006427,27140617,,1000,135,233,55,131,54,204,132,132,1000,11,0,999,999,999,999,999,635,752,384,252,0,1,0
2025/05/23/15:20:27.037749,21,1748006427,37279844,,1000,135,233,55,131,54,205,133,132,1000,11,0,999,999,999,999,999,635,751,384,252,0,1,0
2025/05/23/15:20:27.047637,22,1748006427,47224283,,1000,135,233,55,131,54,205,133,132,1000,11,0,999,999,999,999,999,635,751,384,251,0,1,0
2025/05/23/15:20:27.057750,23,1748006427,57252883,,1000,135,233,55,131,54,205,133,132,1000,11,0,999,999,999,999,999,635,752,384,251,0,1,0
2025/05/23/15:20:27.067507,24,1748006427,67135810,,1000,135,233,55,131,54,206,134,132,1000,11,0,999,999,999,999,999,635,752,384,251,0,1,0
2025/05/23/15:20:27.077395,25,1748006427,77113866,,1000,135,233,55,131,54,207,135,132,1000,11,0,999,999,999,999,999,635,752,384,250,0,1,0
2025/05/23/15:20:27.087585,26,1748006427,87130069,,1000,135,233,55,130,54,206,135,132,1000,11,0,999,999,999,999,999,634,752,384,250,0,1,0
2025/05/23/15:20:27.097713,27,1748006427,97247600,,1000,135,233,55,130,54,205,133,132,1000,11,0,999,999,999,999,999,634,752,384,250,0,1,0
2025/05/23/15:20:27.107567,28,1748006427,107183933,,1000,135,233,55,130,54,205,133,132,1000,11,0,999,999,999,999,999,634,752,384,250,0,1,0
2025/05/23/15:20:27.117537,29,1748006427,117149591,,1000,135,233,55,130,54,204,133,132,1000,10,0,999,999,999,999,999,634,751,385,250,0,1,0
