time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.thumb_2,.thumb_1,.index_2,.index_1,.middle_2,.middle_1,.ring_2,.ring_1,.little_2,.little_1,.palm_arch,.thumb_crossover,.press_thumb,.press_index,.press_middle,.press_ring,.press_little,.abd_thumb,.abd_index,.abd_ring,.abd_little,rigidity,object,stiffness
2025/05/23/15:23:32.998962,1,1748006612,998494148,,1000,135,171,46,104,74,56,32,52,1000,192,0,966,999,999,999,999,741,732,282,124,0,0,0
2025/05/23/15:23:33.008888,2,1748006613,8452415,,1000,133,165,45,96,69,50,30,50,1000,188,0,981,999,999,999,999,728,728,272,118,0,0,0
2025/05/23/15:23:33.019053,3,1748006613,18557548,,1000,133,165,45,96,69,50,30,50,1000,189,0,985,999,999,999,999,728,728,272,118,0,0,0
2025/05/23/15:23:33.029282,4,1748006613,28545379,,1000,133,165,45,96,69,50,30,50,1000,190,0,994,999,999,999,999,728,727,270,118,0,0,0
2025/05/23/15:23:33.039032,5,1748006613,38582086,,1000,133,164,45,96,69,50,30,50,1000,191,0,999,999,999,999,999,727,727,270,118,0,0,0
2025/05/23/15:23:33.048741,6,1748006613,48447132,,1000,133,165,45,96,69,50,30,50,1000,191,0,998,999,999,999,999,727,727,270,118,0,0,0
2025/05/23/15:23:33.058873,7,1748006613,58449983,,1000,133,165,45,96,69,50,30,50,1000,192,0,998,999,999,999,999,727,727,272,118,0,0,0
2025/05/23/15:23:33.068804,8,1748006613,68452835,,1000,133,165,45,96,69,50,30,50,1000,192,0,998,999,999,999,999,727,727,272,118,0,0,0
2025/05/23/15:23:33.079330,9,1748006613,78627586,,1000,133,165,45,96,69,50,30,50,1000,193,0,999,999,999,999,999,727,727,272,118,0,0,0
2025/05/23/15:23:33.088807,10,1748006613,88479757,,1000,133,164,45,96,69,50,30,50,1000,193,0,998,999,999,999,999,727,726,272,118,0,0,0
2025/05/23/15:23:33.098794,11,1748006613,98439455,,1000,133,164,45,96,69,50,30,50,1000,192,0,999,999,999,999,999,727,727,272,118,0,0,0
2025/05/23/15:23:33.108895,12,1748006613,108442068,,1000,133,164,45,96,69,50,30,50,1000,192,0,998,999,999,999,999,726,726,272,118,0,0,0
2025/05/23/15:23:33.119078,13,1748006613,118525743,,1000,133,164,45,95,69,50,30,50,1000,192,0,999,999,999,999,999,726,726,270,117,0,0,0
2025/05/23/15:23:33.129146,14,1748006613,128507852,,1000,133,164,45,95,69,50,30,50,1000,192,0,998,999,999,999,999,726,726,270,117,0,0,0
2025/05/23/15:23:33.139055,15,1748006613,138467788,,1000,133,164,45,95,68,50,30,50,1000,191,0,999,999,999,999,999,726,727,272,117,0,0,0
2025/05/23/15:23:33.148740,16,1748006613,148433208,,1000,133,164,45,95,69,49,30,50,1000,191,0,999,999,999,999,999,726,726,272,117,0,0,0
2025/05/23/15:23:33.158814,17,1748006613,158404111,,1000,133,164,45,95,68,49,30,50,1000,190,0,998,999,999,999,999,726,726,272,117,0,0,0
2025/05/23/15:23:33.168982,18,1748006613,168522596,,1000,133,164,45,95,68,49,30,50,1000,190,0,998,999,999,999,999,726,726,272,117,0,0,0
2025/05/23/15:23:33.179027,19,1748006613,178547143,,1000,133,163,45,95,68,49,30,50,1000,190,0,998,999,999,999,999,726,727,272,117,0,0,0
2025/05/23/15:23:33.188963,20,1748006613,188511133,,1000,133,163,45,95,68,49,30,50,1000,190,0,999,999,999,999,999,726,727,272,117,0,0,0
2025/05/23/15:23:33.198747,21,1748006613,198358297,,1000,133,163,45,95,68,49,30,50,1000,189,0,999,999,999,999,999,725,727,270,117,0,0,0
2025/05/23/15:23:33.208944,22,1748006613,208427190,,1000,133,163,45,95,68,49,30,50,1000,189,0,999,999,999,999,999,725,727,272,117,0,0,0
2025/05/23/15:23:33.218863,23,1748006613,218479871,,1000,133,163,45,95,68,49,30,50,1000,189,0,999,999,999,999,999,725,726,272,117,0,0,0
2025/05/23/15:23:33.229062,24,1748006613,228517055,,1000,133,163,45,95,68,49,30,49,1000,189,0,999,999,999,999,999,726,727,272,117,0,0,0
2025/05/23/15:23:33.238817,25,1748006613,238393306,,1000,133,163,45,95,68,49,30,49,1000,189,0,999,999,999,999,999,726,726,272,117,0,0,0
2025/05/23/15:23:33.248768,26,1748006613,248383283,,1000,133,163,45,95,68,49,30,49,1000,188,0,999,999,999,999,999,726,727,272,117,0,0,0
2025/05/23/15:23:33.258893,27,1748006613,258450031,,1000,133,162,45,95,68,49,30,49,1000,188,0,999,999,999,999,999,725,726,272,116,0,0,0
2025/05/23/15:23:33.268918,28,1748006613,268423795,,1000,133,162,45,95,68,49,30,49,1000,188,0,999,999,999,999,999,725,726,272,116,0,0,0
2025/05/23/15:23:33.279026,29,1748006613,278477907,,1000,133,162,45,95,68,49,30,49,1000,188,0,991,999,999,999,999,725,726,272,116,0,0,0
2025/05/23/15:23:33.288823,30,1748006613,288453578,,1000,133,162,45,95,68,49,30,49,1000,188,0,982,999,999,999,999,725,726,272,116,0,0,0
2025/05/23/15:23:33.298742,31,1748006613,298367500,,1000,133,162,45,95,68,49,30,49,1000,188,0,976,999,999,999,999,725,726,270,116,0,0,0
2025/05/23/15:23:33.308656,32,1748006613,308365821,,1000,133,162,45,95,68,49,30,49,1000,188,0,975,999,999,999,999,725,726,270,116,0,0,0
2025/05/23/15:23:33.318810,33,1748006613,318442583,,1000,133,162,45,95,68,48,30,49,1000,188,0,974,999,999,999,999,726,726,270,115,0,0,0
2025/05/23/15:23:33.329024,34,1748006613,328417778,,1000,133,162,45,95,68,48,30,49,1000,188,0,975,999,999,999,999,726,725,272,115,0,0,0
2025/05/23/15:23:33.338772,35,1748006613,338376760,,1000,133,162,45,95,68,48,30,49,1000,188,0,975,999,999,999,999,726,725,272,114,0,0,0
2025/05/23/15:23:33.348964,36,1748006613,348463773,,1000,133,162,45,95,68,48,30,49,1000,188,0,975,999,999,999,999,726,725,270,114,0,0,0
2025/05/23/15:23:33.358977,37,1748006613,358516454,,1000,133,162,45,95,68,48,30,49,1000,188,0,974,999,999,999,999,725,725,269,114,0,0,0
2025/05/23/15:23:33.368921,38,1748006613,368462800,,1000,133,162,45,95,68,48,30,49,1000,188,0,974,999,999,999,999,725,725,269,114,0,0,0
2025/05/23/15:23:33.378937,39,1748006613,378519773,,1000,133,162,45,94,68,48,30,49,1000,188,0,975,999,999,999,999,725,725,269,114,0,0,0
2025/05/23/15:23:33.388805,40,1748006613,388410806,,1000,133,162,45,94,68,48,30,49,1000,187,0,975,999,999,999,999,725,725,269,114,0,0,0
2025/05/23/15:23:33.398947,41,1748006613,398457765,,1000,133,162,45,94,68,48,30,49,1000,187,0,975,999,999,999,999,725,725,269,114,0,0,0
2025/05/23/15:23:33.408931,42,1748006613,408434152,,1000,133,162,45,94,68,48,30,49,1000,187,0,975,999,999,999,999,725,725,269,113,0,0,0
2025/05/23/15:23:33.418717,43,1748006613,418367147,,1000,133,162,45,94,67,48,30,49,1000,187,0,975,999,999,999,999,725,724,269,113,0,0,0
2025/05/23/15:23:33.428839,44,1748006613,428378820,,1000,133,162,45,94,67,48,30,49,1000,186,0,976,999,999,999,999,725,724,269,113,0,0,0
2025/05/23/15:23:33.438811,45,1748006613,438402414,,1000,133,162,45,94,67,48,30,49,1000,186,0,976,999,999,999,999,725,724,269,113,0,0,0
2025/05/23/15:23:33.448788,46,1748006613,448370933,,1000,133,161,45,94,67,48,29,49,1000,186,0,978,999,999,999,999,725,724,269,113,0,0,0
2025/05/23/15:23:33.458783,47,1748006613,458427429,,1000,133,161,45,94,67,48,30,49,1000,186,0,979,999,999,999,999,725,724,267,113,0,0,0
2025/05/23/15:23:33.468942,48,1748006613,468434572,,1000,133,161,45,94,67,48,29,49,1000,186,0,986,999,999,999,999,724,724,267,112,0,0,0
