time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.thumb_2,.thumb_1,.index_2,.index_1,.middle_2,.middle_1,.ring_2,.ring_1,.little_2,.little_1,.palm_arch,.thumb_crossover,.press_thumb,.press_index,.press_middle,.press_ring,.press_little,.abd_thumb,.abd_index,.abd_ring,.abd_little,rigidity,object
2025/05/23/16:54:58.692929,1,1748012098,692342996,,1000,622,641,100,577,337,655,138,252,1000,120,78,922,999,999,999,999,189,290,0,0,0,0
2025/05/23/16:54:58.702553,2,1748012098,702133178,,1000,633,646,105,577,316,654,134,252,1000,98,68,928,999,999,999,999,175,288,0,0,0,0
2025/05/23/16:54:58.712427,3,1748012098,712083339,,1000,633,646,105,577,316,654,134,252,1000,98,68,929,999,999,999,999,175,288,0,0,0,0
2025/05/23/16:54:58.722871,4,1748012098,722321510,,1000,634,646,105,577,316,654,134,252,1000,98,68,929,999,999,999,999,175,288,0,0,0,0
2025/05/23/16:54:58.732540,5,1748012098,732133865,,1000,634,646,105,577,315,654,134,252,1000,98,67,929,999,999,999,999,175,288,0,0,0,0
2025/05/23/16:54:58.742412,6,1748012098,742066860,,1000,635,646,105,577,315,654,134,252,1000,97,67,928,999,999,999,999,175,288,0,0,0,0
2025/05/23/16:54:58.752471,7,1748012098,752096176,,1000,635,646,105,577,315,654,134,252,1000,97,67,927,999,999,999,999,175,289,0,0,0,0
2025/05/23/16:54:58.762485,8,1748012098,762097358,,1000,636,646,105,577,315,654,134,252,1000,97,67,926,999,999,999,999,174,289,0,0,0,0
2025/05/23/16:54:58.773139,9,1748012098,772493362,,1000,637,646,105,577,315,654,134,252,1000,97,67,920,999,999,999,999,174,289,0,0,0,0
2025/05/23/16:54:58.782368,10,1748012098,782102346,,1000,639,647,105,577,315,654,134,252,1000,97,67,914,999,999,999,999,174,289,0,0,0,0
2025/05/23/16:54:58.792420,11,1748012098,792033433,,1000,640,647,105,577,315,654,134,252,1000,97,67,911,999,999,999,999,174,289,0,0,0,0
2025/05/23/16:54:58.802350,12,1748012098,802051305,,1000,641,647,105,577,315,654,134,252,1000,97,67,910,999,999,999,999,174,289,0,0,0,0
2025/05/23/16:54:58.812418,13,1748012098,812063455,,1000,641,647,106,577,315,654,134,252,1000,97,67,911,999,999,999,999,174,288,0,0,0,0
2025/05/23/16:54:58.822646,14,1748012098,822174787,,1000,642,647,106,577,314,654,133,252,1000,97,67,911,999,999,999,999,173,288,0,0,0,0
2025/05/23/16:54:58.832544,15,1748012098,832080125,,1000,642,647,106,577,314,654,133,252,1000,97,67,911,999,999,999,999,173,288,0,0,0,0
2025/05/23/16:54:58.842470,16,1748012098,842103958,,1000,642,647,106,577,314,654,133,252,1000,96,67,912,999,999,999,999,173,288,0,0,0,0
2025/05/23/16:54:58.852528,17,1748012098,852147817,,1000,643,647,106,577,314,654,133,252,1000,96,67,913,999,999,999,999,173,288,0,0,0,0
2025/05/23/16:54:58.862457,18,1748012098,862077474,,1000,643,647,106,577,313,654,133,252,1000,96,67,913,999,999,999,999,173,288,0,0,0,0
2025/05/23/16:54:58.872790,19,1748012098,872134447,,1000,643,647,106,577,313,654,133,252,1000,96,67,913,999,999,999,999,173,288,0,0,0,0
2025/05/23/16:54:58.882617,20,1748012098,882175683,,1000,643,647,106,577,313,654,133,252,1000,95,67,911,999,999,999,999,173,288,0,0,0,0
2025/05/23/16:54:58.892464,21,1748012098,892068862,,1000,644,648,106,577,312,654,133,252,1000,95,67,909,999,999,999,999,172,288,0,0,0,0
