time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.thumb_2,.thumb_1,.index_2,.index_1,.middle_2,.middle_1,.ring_2,.ring_1,.little_2,.little_1,.palm_arch,.thumb_crossover,.press_thumb,.press_index,.press_middle,.press_ring,.press_little,.abd_thumb,.abd_index,.abd_ring,.abd_little
2025/05/23/15:04:29.500762,1,1748005469,499916315,,1000,108,301,68,162,70,180,85,126,1000,59,0,993,999,999,999,999,647,728,161,86
2025/05/23/15:04:29.510108,2,1748005469,509754657,,1000,108,278,68,158,67,176,85,123,1000,32,0,999,999,999,999,999,637,729,173,75
2025/05/23/15:04:29.520226,3,1748005469,519776821,,1000,108,278,68,158,67,176,85,123,1000,32,0,999,999,999,999,999,637,729,173,75
2025/05/23/15:04:29.530293,4,1748005469,529788970,,1000,108,277,68,158,67,176,85,123,1000,31,0,999,999,999,999,999,637,729,175,75
2025/05/23/15:04:29.540120,5,1748005469,539686203,,1000,108,277,68,158,67,176,85,123,1000,30,0,999,999,999,999,999,637,729,173,76
2025/05/23/15:04:29.550112,6,1748005469,549708366,,1000,108,277,68,157,67,176,85,123,1000,30,0,999,999,999,999,999,637,730,173,76
2025/05/23/15:04:29.560259,7,1748005469,559754610,,1000,108,277,68,157,67,176,85,123,1000,29,0,999,999,999,999,999,637,729,173,75
2025/05/23/15:04:29.570211,8,1748005469,569737911,,1000,108,277,68,157,67,176,85,123,1000,29,0,999,999,999,999,999,637,729,173,75
2025/05/23/15:04:29.580382,9,1748005469,579825401,,1000,108,277,68,157,66,176,85,123,1000,28,0,999,999,999,999,999,637,729,173,76
2025/05/23/15:04:29.590196,10,1748005469,589752912,,1000,108,277,68,157,66,176,85,123,1000,28,0,999,999,999,999,999,637,729,173,76
2025/05/23/15:04:29.600228,11,1748005469,599681138,,1000,108,277,68,157,66,175,85,123,1000,28,0,999,999,999,999,999,636,729,171,75
2025/05/23/15:04:29.610446,12,1748005469,609790563,,1000,108,276,68,157,66,175,85,123,1000,27,0,999,999,999,999,999,636,729,173,74
