time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.thumb_2,.thumb_1,.index_2,.index_1,.middle_2,.middle_1,.ring_2,.ring_1,.little_2,.little_1,.palm_arch,.thumb_crossover,.press_thumb,.press_index,.press_middle,.press_ring,.press_little,.abd_thumb,.abd_index,.abd_ring,.abd_little
2025/05/23/15:02:02.007068,1,1748005322,6593465,,1000,121,189,35,101,21,61,0,71,1000,0,0,999,999,999,730,999,816,691,161,0
2025/05/23/15:02:02.017212,2,1748005322,16723155,,1000,120,180,35,94,19,54,0,65,1000,0,0,999,999,999,844,999,793,694,159,0
2025/05/23/15:02:02.026796,3,1748005322,26512145,,1000,120,180,34,94,19,53,0,65,1000,0,0,999,999,999,840,999,793,694,159,0
2025/05/23/15:02:02.036988,4,1748005322,36613225,,1000,120,180,34,94,19,53,0,65,1000,0,0,999,999,999,840,999,793,694,159,0
2025/05/23/15:02:02.047061,5,1748005322,46575784,,1000,120,180,35,94,19,53,0,65,1000,0,0,999,999,999,833,999,793,694,159,0
2025/05/23/15:02:02.057136,6,1748005322,56561470,,1000,120,180,35,94,19,53,0,65,1000,0,0,999,999,999,830,999,793,694,159,0
2025/05/23/15:02:02.067265,7,1748005322,66715955,,1000,120,180,35,94,19,53,0,65,1000,0,0,999,999,999,831,999,793,694,159,0
2025/05/23/15:02:02.076907,8,1748005322,76514005,,1000,120,180,34,94,19,53,0,65,1000,0,0,999,999,999,832,999,792,694,159,0
2025/05/23/15:02:02.086830,9,1748005322,86531877,,1000,120,180,34,94,19,53,0,65,1000,0,0,999,999,999,831,999,792,694,161,0
2025/05/23/15:02:02.096918,10,1748005322,96549034,,1000,120,179,35,94,19,53,0,65,1000,0,0,999,999,999,830,999,792,695,161,0
2025/05/23/15:02:02.106906,11,1748005322,106588602,,1000,120,179,35,93,19,53,0,65,1000,0,0,999,999,999,827,999,792,695,161,0
2025/05/23/15:02:02.117302,12,1748005322,116827726,,1000,120,179,34,93,19,53,0,65,1000,0,0,999,999,999,826,999,792,694,161,0
2025/05/23/15:02:02.126926,13,1748005322,126592159,,1000,120,179,34,93,19,53,0,65,1000,0,0,999,999,999,833,999,792,694,161,0
2025/05/23/15:02:02.137025,14,1748005322,136500835,,1000,120,179,35,93,19,53,0,65,1000,0,0,999,999,999,837,999,791,694,159,0
2025/05/23/15:02:02.146709,15,1748005322,146436691,,1000,120,179,35,93,19,52,0,65,1000,0,0,999,999,999,836,999,792,695,161,0
2025/05/23/15:02:02.156775,16,1748005322,156469106,,1000,120,178,35,93,19,52,0,65,1000,0,0,999,999,999,838,999,792,695,161,0
2025/05/23/15:02:02.167097,17,1748005322,166512489,,1000,119,178,35,93,18,52,0,65,1000,0,0,999,999,999,844,999,792,695,161,0
2025/05/23/15:02:02.176825,18,1748005322,176488637,,1000,119,178,35,93,18,52,0,65,1000,0,0,999,999,999,848,999,792,695,161,0
