time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.thumb_2,.thumb_1,.index_2,.index_1,.middle_2,.middle_1,.ring_2,.ring_1,.little_2,.little_1,.palm_arch,.thumb_crossover,.press_thumb,.press_index,.press_middle,.press_ring,.press_little,.abd_thumb,.abd_index,.abd_ring,.abd_little
2025/05/23/15:06:59.845999,1,1748005619,845410346,,1000,166,428,74,119,115,103,71,79,1000,113,0,999,999,999,999,999,757,739,362,116
2025/05/23/15:06:59.855897,2,1748005619,855504751,,1000,162,261,71,110,108,93,68,76,1000,21,0,999,999,999,999,999,741,726,235,36
2025/05/23/15:06:59.865972,3,1748005619,865405082,,1000,162,261,71,110,108,93,68,76,1000,21,0,999,999,999,999,999,741,726,235,36
2025/05/23/15:06:59.875662,4,1748005619,875349283,,1000,162,261,71,110,108,93,67,75,1000,20,0,999,999,999,999,999,740,726,235,35
2025/05/23/15:06:59.885695,5,1748005619,885340452,,1000,162,260,71,110,108,93,67,75,1000,19,0,999,999,999,999,999,740,726,235,34
2025/05/23/15:06:59.895824,6,1748005619,895401239,,1000,162,260,71,110,107,93,67,75,1000,19,0,999,999,999,999,999,740,726,233,34
2025/05/23/15:06:59.905829,7,1748005619,905405044,,1000,162,260,71,110,107,93,67,75,1000,18,0,999,999,999,999,999,739,726,233,34
2025/05/23/15:06:59.915766,8,1748005619,915364503,,1000,162,260,71,110,107,93,67,75,1000,18,0,999,999,999,999,999,739,726,233,33
2025/05/23/15:06:59.925848,9,1748005619,925379037,,1000,162,259,71,110,107,93,67,75,1000,17,0,999,999,999,999,999,738,726,233,33
2025/05/23/15:06:59.935761,10,1748005619,935391902,,1000,162,259,71,110,107,93,67,75,1000,17,0,999,999,999,999,999,738,726,233,33
2025/05/23/15:06:59.945729,11,1748005619,945357561,,1000,162,259,71,110,107,93,67,75,1000,17,0,999,999,999,999,999,738,726,233,33
2025/05/23/15:06:59.955956,12,1748005619,955518245,,1000,162,259,71,110,107,93,67,75,1000,16,0,999,999,999,999,999,738,725,231,32
2025/05/23/15:06:59.966007,13,1748005619,965446710,,1000,162,258,71,110,107,93,67,75,1000,16,0,999,999,999,999,999,737,725,231,31
2025/05/23/15:06:59.975765,14,1748005619,975380420,,1000,162,258,71,110,107,93,67,75,1000,15,0,999,999,999,999,999,737,725,231,31
2025/05/23/15:06:59.985746,15,1748005619,985378503,,1000,162,258,71,110,107,93,67,75,1000,15,0,999,999,999,999,999,737,725,231,31
2025/05/23/15:06:59.995604,16,1748005619,995278120,,1000,162,258,71,110,107,93,67,75,1000,14,0,999,999,999,999,999,737,725,231,31
2025/05/23/15:07:00.005607,17,1748005620,5245447,,1000,162,258,71,110,107,93,67,75,1000,14,0,999,999,999,999,999,736,725,231,30
2025/05/23/15:07:00.016079,18,1748005620,15371322,,1000,162,258,71,110,107,93,67,75,1000,14,0,999,999,999,999,999,736,725,230,30
2025/05/23/15:07:00.025712,19,1748005620,25362730,,1000,162,258,71,110,107,92,67,75,1000,13,0,999,999,999,999,999,736,725,228,30
2025/05/23/15:07:00.035695,20,1748005620,35233736,,1000,161,258,71,110,107,92,67,75,1000,13,0,999,999,999,999,999,736,724,228,29
2025/05/23/15:07:00.045714,21,1748005620,45273065,,1000,161,257,71,110,107,92,67,75,1000,12,0,999,999,999,999,999,736,724,228,29
2025/05/23/15:07:00.055505,22,1748005620,55232524,,1000,161,257,71,110,107,92,67,75,1000,12,0,999,999,999,999,999,736,724,228,29
2025/05/23/15:07:00.066010,23,1748005620,65432310,,1000,161,257,71,110,107,92,67,75,1000,12,0,999,999,999,999,999,735,724,228,29
2025/05/23/15:07:00.075717,24,1748005620,75301647,,1000,161,257,71,110,107,92,67,75,1000,11,0,999,999,999,999,999,735,724,228,29
2025/05/23/15:07:00.085532,25,1748005620,85232019,,1000,161,257,71,110,107,92,67,75,1000,11,0,999,999,999,999,999,735,724,228,29
2025/05/23/15:07:00.095543,26,1748005620,95224380,,1000,161,257,71,110,106,92,67,75,1000,11,0,999,999,999,999,999,735,724,228,29
2025/05/23/15:07:00.105572,27,1748005620,105273962,,1000,161,257,71,110,106,92,67,75,1000,11,0,999,999,999,999,999,735,724,228,29
2025/05/23/15:07:00.115771,28,1748005620,115364789,,1000,161,256,71,110,107,92,67,75,1000,10,0,999,999,999,999,999,735,724,228,28
2025/05/23/15:07:00.125667,29,1748005620,125322580,,1000,161,256,71,110,107,91,67,75,1000,10,0,999,999,999,999,999,734,722,228,28
2025/05/23/15:07:00.135663,30,1748005620,135284185,,1000,161,256,71,110,106,91,67,75,1000,10,0,999,999,999,999,999,734,722,228,28
2025/05/23/15:07:00.145650,31,1748005620,145287990,,1000,161,256,71,110,106,92,67,75,1000,9,0,999,999,999,999,999,734,722,228,28
2025/05/23/15:07:00.155996,32,1748005620,155459165,,1000,161,256,71,110,106,91,67,75,1000,9,0,999,999,999,999,999,734,722,226,28
2025/05/23/15:07:00.165840,33,1748005620,165406227,,1000,161,256,71,110,106,91,67,75,1000,9,0,999,999,999,999,999,734,722,226,28
2025/05/23/15:07:00.175859,34,1748005620,175319910,,1000,161,256,71,109,106,91,67,75,1000,8,0,999,999,999,999,999,734,722,226,28
2025/05/23/15:07:00.185698,35,1748005620,185290098,,1000,161,256,71,109,106,91,67,75,1000,8,0,999,999,999,999,999,733,722,226,28
2025/05/23/15:07:00.195859,36,1748005620,195382595,,1000,161,256,71,109,106,91,67,75,1000,8,0,999,999,999,999,999,733,722,226,28
2025/05/23/15:07:00.206030,37,1748005620,205448150,,1000,161,256,71,109,106,91,67,75,1000,8,0,999,999,999,999,999,733,721,226,28
2025/05/23/15:07:00.216090,38,1748005620,215373992,,1000,161,256,71,109,106,91,67,75,1000,7,0,999,999,999,999,999,733,722,228,28
2025/05/23/15:07:00.225973,39,1748005620,225314140,,1000,161,256,71,109,106,91,67,75,1000,7,0,999,999,999,999,999,733,721,228,28
2025/05/23/15:07:00.235699,40,1748005620,235289335,,1000,161,256,71,109,106,91,67,75,1000,6,0,999,999,999,999,999,733,721,228,28
2025/05/23/15:07:00.245691,41,1748005620,245267868,,1000,161,255,71,109,106,91,67,75,1000,6,0,999,999,999,999,999,733,721,228,28
2025/05/23/15:07:00.255628,42,1748005620,255239248,,1000,161,255,71,109,106,92,67,75,1000,6,0,999,999,999,999,999,733,721,226,29
2025/05/23/15:07:00.265789,43,1748005620,265332937,,1000,161,255,71,109,106,92,67,75,1000,5,0,999,999,999,999,999,733,721,228,29
2025/05/23/15:07:00.275532,44,1748005620,275227069,,1000,161,256,71,109,106,92,67,75,1000,5,0,999,999,999,999,999,732,721,228,29
2025/05/23/15:07:00.285509,45,1748005620,285233497,,1000,161,256,71,109,106,92,67,75,1000,5,0,999,999,999,999,999,732,720,228,29
2025/05/23/15:07:00.295652,46,1748005620,295266389,,1000,161,256,71,109,106,92,67,75,1000,5,0,999,999,999,999,999,732,720,228,29
2025/05/23/15:07:00.305951,47,1748005620,305431842,,1000,161,255,71,109,105,92,67,75,1000,5,0,999,999,999,999,999,732,720,228,29
2025/05/23/15:07:00.315781,48,1748005620,315403461,,1000,161,255,71,109,105,92,67,75,1000,5,0,999,999,999,999,999,732,720,228,30
2025/05/23/15:07:00.325696,49,1748005620,325348138,,1000,161,255,71,109,105,92,67,75,1000,4,0,999,999,999,999,999,731,719,228,29
2025/05/23/15:07:00.335632,50,1748005620,335294485,,1000,161,255,71,109,105,92,67,75,1000,4,0,999,999,999,999,999,731,719,226,29
2025/05/23/15:07:00.346107,51,1748005620,345480680,,1000,161,255,71,109,105,92,67,75,1000,4,0,999,999,999,999,999,731,719,226,29
2025/05/23/15:07:00.355792,52,1748005620,355366706,,1000,161,255,71,109,105,92,67,75,1000,3,0,999,999,999,999,999,731,719,226,28
2025/05/23/15:07:00.365895,53,1748005620,365397691,,1000,161,255,71,109,105,91,67,75,1000,3,0,999,999,999,999,999,730,719,226,28
2025/05/23/15:07:00.375939,54,1748005620,375484943,,1000,161,255,71,109,105,91,67,75,1000,3,0,999,999,999,999,999,730,719,226,29
2025/05/23/15:07:00.405717,55,1748005620,405301570,,1000,161,254,71,109,105,91,67,75,1000,3,0,999,999,999,999,999,729,719,226,29
2025/05/23/15:07:00.415823,56,1748005620,415307283,,1000,161,254,71,109,105,91,67,75,1000,2,0,999,999,999,999,999,729,719,226,29
2025/05/23/15:07:00.425888,57,1748005620,425388097,,1000,161,254,71,109,105,91,67,75,1000,2,0,999,999,999,999,999,729,719,226,29
2025/05/23/15:07:00.435874,58,1748005620,435364246,,1000,161,254,71,109,105,91,67,75,1000,1,0,999,999,999,999,999,729,719,226,29
2025/05/23/15:07:00.445725,59,1748005620,445443868,,1000,161,254,71,109,105,91,67,75,1000,1,0,999,999,999,999,999,729,719,226,29
2025/05/23/15:07:00.575884,60,1748005620,575322151,,1000,160,237,67,105,93,97,62,87,1000,20,0,983,999,999,999,999,676,717,208,288
2025/05/23/15:07:00.586052,61,1748005620,585404634,,1000,160,237,67,105,93,97,62,87,1000,22,0,985,999,999,999,999,674,717,208,296
2025/05/23/15:07:00.595698,62,1748005620,595273017,,1000,160,237,67,105,93,97,62,87,1000,24,0,981,999,999,999,999,672,716,210,304
2025/05/23/15:07:00.605799,63,1748005620,605361223,,1000,160,237,67,105,93,97,62,87,1000,26,0,970,999,999,999,999,669,716,210,312
2025/05/23/15:07:00.615778,64,1748005620,615281581,,1000,160,237,67,105,93,97,62,87,1000,28,0,961,999,999,999,999,667,715,212,321
2025/05/23/15:07:00.625768,65,1748005620,625324964,,1000,160,237,66,105,92,97,62,87,1000,31,0,961,999,999,999,999,664,715,214,331
2025/05/23/15:07:00.635786,66,1748005620,635362386,,1000,160,236,66,105,92,97,62,87,1000,33,0,963,999,999,999,999,662,715,214,338
2025/05/23/15:07:00.645875,67,1748005620,645368337,,1000,160,236,66,105,92,97,62,86,1000,36,0,962,999,999,999,999,659,715,214,345
2025/05/23/15:07:00.655749,68,1748005620,655337810,,1000,160,236,66,104,92,98,63,86,1000,39,0,961,999,999,999,999,657,714,214,351
2025/05/23/15:07:00.665884,69,1748005620,665319681,,1000,160,236,66,104,92,99,65,86,1000,43,0,960,999,999,999,999,654,713,216,359
2025/05/23/15:07:00.675699,70,1748005620,675276756,,1000,160,235,66,104,91,101,66,86,1000,48,0,961,999,999,999,999,651,713,216,369
2025/05/23/15:07:00.685569,71,1748005620,685257196,,1000,160,235,66,104,91,104,70,86,1000,52,0,961,999,999,999,999,648,712,216,379
2025/05/23/15:07:00.695683,72,1748005620,695317506,,1000,160,235,66,104,91,109,75,86,1000,58,0,962,999,999,999,999,645,712,216,390
2025/05/23/15:07:00.705710,73,1748005620,705350875,,1000,160,235,66,104,91,113,80,86,1000,64,0,962,999,999,999,999,642,711,216,402
2025/05/23/15:07:00.715772,74,1748005620,715339660,,1000,160,235,66,103,91,114,81,86,1000,71,0,963,999,999,999,999,640,711,216,416
