time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.thumb_2,.thumb_1,.index_2,.index_1,.middle_2,.middle_1,.ring_2,.ring_1,.little_2,.little_1,.palm_arch,.thumb_crossover,.press_thumb,.press_index,.press_middle,.press_ring,.press_little,.abd_thumb,.abd_index,.abd_ring,.abd_little
2025/05/23/14:56:44.492094,1,1748005004,491563081,,1000,152,188,42,98,43,40,28,76,1000,133,0,950,999,999,999,999,834,705,237,205
2025/05/23/14:56:44.501996,2,1748005004,501657009,,1000,163,203,40,99,38,25,22,66,1000,28,0,972,999,999,999,999,805,681,302,191
2025/05/23/14:56:44.511845,3,1748005004,511498928,,1000,163,202,40,99,38,25,22,66,1000,27,0,972,999,999,999,999,805,681,302,190
2025/05/23/14:56:44.521996,4,1748005004,521639823,,1000,163,202,40,99,38,25,22,66,1000,27,0,972,999,999,999,999,805,680,302,190
2025/05/23/14:56:44.531898,5,1748005004,531560182,,1000,163,202,40,99,38,25,22,66,1000,27,0,973,999,999,999,999,804,680,300,190
2025/05/23/14:56:44.541798,6,1748005004,541478633,,1000,163,201,40,99,38,25,22,66,1000,26,0,974,999,999,999,999,804,679,300,190
2025/05/23/14:56:44.551872,7,1748005004,551545858,,1000,163,201,40,99,38,25,22,66,1000,26,0,974,999,999,999,999,804,679,300,190
2025/05/23/14:56:44.561955,8,1748005004,561599969,,1000,163,201,40,99,37,25,21,66,1000,26,0,976,999,999,999,999,804,678,302,190
2025/05/23/14:56:44.571980,9,1748005004,571558952,,1000,163,200,40,99,37,25,21,66,1000,25,0,975,999,999,999,999,803,678,302,190
2025/05/23/14:56:44.581847,10,1748005004,581528663,,1000,163,200,40,99,37,25,21,66,1000,25,0,975,999,999,999,999,803,678,302,190
2025/05/23/14:56:44.591849,11,1748005004,591589450,,1000,163,200,40,99,37,25,21,66,1000,25,0,975,999,999,999,999,802,678,302,190
2025/05/23/14:56:44.601788,12,1748005004,601477384,,1000,163,199,40,99,37,25,21,66,1000,24,0,976,999,999,999,999,802,675,300,190
2025/05/23/14:56:44.611762,13,1748005004,611425638,,1000,163,199,40,99,37,25,21,66,1000,23,0,976,999,999,999,999,802,675,300,190
2025/05/23/14:56:44.621725,14,1748005004,621450424,,1000,163,199,40,99,37,25,21,66,1000,23,0,976,999,999,999,999,802,675,300,190
2025/05/23/14:56:44.631872,15,1748005004,631489038,,1000,162,198,40,99,37,25,21,66,1000,23,0,977,999,999,999,999,802,675,300,191
2025/05/23/14:56:44.641943,16,1748005004,641478300,,1000,162,198,40,99,37,24,21,66,1000,22,0,976,999,999,999,999,801,675,300,190
2025/05/23/14:56:44.651876,17,1748005004,651448726,,1000,162,198,40,99,37,24,21,66,1000,22,0,976,999,999,999,999,801,674,300,190
2025/05/23/14:56:44.661788,18,1748005004,661429405,,1000,162,198,40,99,37,24,21,66,1000,22,0,976,999,999,999,999,801,674,300,190
2025/05/23/14:56:44.671750,19,1748005004,671437740,,1000,162,198,40,99,37,24,21,66,1000,21,0,975,999,999,999,999,801,674,300,190
2025/05/23/14:56:44.681926,20,1748005004,681562423,,1000,162,197,40,99,37,24,21,66,1000,21,0,975,999,999,999,999,800,673,298,189
2025/05/23/14:56:44.691973,21,1748005004,691487550,,1000,162,197,40,99,37,24,21,66,1000,21,0,974,999,999,999,999,800,673,298,189
2025/05/23/14:56:44.701985,22,1748005004,701533794,,1000,162,197,40,99,37,24,21,66,1000,20,0,973,999,999,999,999,800,673,300,189
2025/05/23/14:56:44.711789,23,1748005004,711459398,,1000,162,197,40,99,37,24,21,66,1000,20,0,973,999,999,999,999,799,673,298,190
2025/05/23/14:56:44.721759,24,1748005004,721442461,,1000,162,196,40,99,37,24,21,66,1000,20,0,973,999,999,999,999,799,672,298,190
2025/05/23/14:56:44.731847,25,1748005004,731489181,,1000,162,196,40,99,37,24,21,66,1000,19,0,973,999,999,999,999,799,673,298,190
2025/05/23/14:56:44.741955,26,1748005004,741544723,,1000,162,196,40,99,37,24,20,66,1000,19,0,973,999,999,999,999,799,672,298,190
2025/05/23/14:56:44.751757,27,1748005004,751442193,,1000,162,196,40,99,37,24,20,65,1000,19,0,972,999,999,999,999,799,672,298,189
2025/05/23/14:56:44.762104,28,1748005004,761685848,,1000,162,196,40,99,37,24,20,65,1000,19,0,972,999,999,999,999,799,672,298,189
2025/05/23/14:56:44.771882,29,1748005004,771524906,,1000,162,195,40,99,37,24,20,66,1000,18,0,972,999,999,999,999,799,672,296,188
2025/05/23/14:56:44.781963,30,1748005004,781528949,,1000,162,195,40,99,37,24,20,66,1000,18,0,971,999,999,999,999,799,672,296,188
2025/05/23/14:56:44.792000,31,1748005004,791470766,,1000,162,195,40,99,37,24,20,65,1000,18,0,972,999,999,999,999,798,671,296,188
2025/05/23/14:56:44.802011,32,1748005004,801485300,,1000,162,195,40,99,37,24,20,65,1000,17,0,972,999,999,999,999,798,671,296,188
2025/05/23/14:56:44.811817,33,1748005004,811548471,,1000,162,195,40,99,37,24,20,65,1000,17,0,972,999,999,999,999,798,671,296,188
2025/05/23/14:56:44.821695,34,1748005004,821424484,,1000,162,195,40,99,37,24,20,65,1000,17,0,972,999,999,999,999,798,671,296,188
2025/05/23/14:56:44.831931,35,1748005004,831552028,,1000,162,195,40,99,37,24,20,65,1000,17,0,973,999,999,999,999,797,670,296,188
2025/05/23/14:56:44.841709,36,1748005004,841446399,,1000,162,194,40,99,37,24,20,65,1000,17,0,973,999,999,999,999,797,670,296,189
2025/05/23/14:56:44.851790,37,1748005004,851446866,,1000,162,194,40,99,37,24,20,65,1000,17,0,973,999,999,999,999,797,670,296,189
2025/05/23/14:56:44.861820,38,1748005004,861504793,,1000,162,194,40,99,37,24,20,65,1000,16,0,973,999,999,999,999,797,670,296,189
2025/05/23/14:56:44.871885,39,1748005004,871486902,,1000,162,194,40,99,37,24,20,65,1000,16,0,973,999,999,999,999,797,670,296,189
2025/05/23/14:56:44.881769,40,1748005004,881492853,,1000,162,194,40,99,37,24,20,65,1000,15,0,973,999,999,999,999,796,670,294,189
2025/05/23/14:56:44.892009,41,1748005004,891483545,,1000,162,193,40,99,37,24,20,65,1000,15,0,974,999,999,999,999,796,670,294,189
2025/05/23/14:56:44.901847,42,1748005004,901467800,,1000,162,193,40,99,37,23,20,65,1000,15,0,973,999,999,999,999,796,670,294,189
2025/05/23/14:56:44.911935,43,1748005004,911645650,,1000,162,193,40,99,37,23,20,65,1000,14,0,973,999,999,999,999,796,670,294,190
2025/05/23/14:56:44.921980,44,1748005004,921549081,,1000,162,192,40,99,37,23,20,65,1000,14,0,972,999,999,999,999,796,670,294,191
2025/05/23/14:56:44.931893,45,1748005004,931522846,,1000,162,192,40,99,37,23,20,65,1000,14,0,972,999,999,999,999,795,669,294,191
2025/05/23/14:56:44.941804,46,1748005004,941464662,,1000,162,192,40,99,37,23,20,65,1000,14,0,972,999,999,999,999,795,669,292,191
2025/05/23/14:56:44.951906,47,1748005004,951548337,,1000,162,192,40,99,37,23,20,65,1000,14,0,971,999,999,999,999,795,669,294,191
2025/05/23/14:56:44.961820,48,1748005004,961423158,,1000,162,192,40,99,37,23,20,65,1000,13,0,971,999,999,999,999,795,669,294,191
2025/05/23/14:56:44.972016,49,1748005004,971453428,,1000,162,192,40,99,37,23,20,65,1000,13,0,971,999,999,999,999,795,670,294,191
2025/05/23/14:56:44.981955,50,1748005004,981506824,,1000,162,191,40,99,37,23,20,65,1000,13,0,972,999,999,999,999,795,670,294,191
2025/05/23/14:56:44.991942,51,1748005004,991498708,,1000,162,191,40,99,37,23,20,65,1000,13,0,972,999,999,999,999,795,669,294,190
2025/05/23/14:56:45.001890,52,1748005005,1468896,,1000,162,191,40,99,37,23,20,65,1000,12,0,972,999,999,999,999,795,669,292,191
2025/05/23/14:56:45.011902,53,1748005005,11472225,,1000,162,191,40,99,37,23,20,65,1000,12,0,972,999,999,999,999,795,668,292,191
2025/05/23/14:56:45.021819,54,1748005005,21492242,,1000,162,191,40,99,37,23,20,65,1000,12,0,972,999,999,999,999,794,668,294,191
2025/05/23/14:56:45.051781,55,1748005005,51429748,,1000,162,191,40,99,37,23,20,65,1000,11,0,973,999,999,999,999,794,668,294,192
2025/05/23/14:56:45.061801,56,1748005005,61427116,,1000,162,191,40,99,36,23,20,65,1000,11,0,973,999,999,999,999,794,668,294,192
